ID,Soil,Inundation,Seed,ARB_percentage,VES_percentage,HYP_percentage,SHYP_percentage,MS_percentage,ARB,VES,HYP,SHYP,MS,Oomycetes,TAMF,TAMF1,TAMF2,TDSE,TDE1,TDSE2,TotalFungi,ADW,BDW,TDB,SLAFL,IH,RTHO,RHOAF,RHIN,FH
1,Non-sterile,Typical,big,0.43,0,0.01,0,0,43,0,1,0,0,4,44,0.44,5,0,0,1,44,0.2643,0.2659,5.302,1.364152,12.5,0.056,0.056,0,13.2
3,Non-sterile,Typical,intermediate,0.36,0,0.06,0.02,0,36,0,6,2,0,0,42,0.42,5,2,0.02,1,44,0.1989,0.1044,3.033,2.001970835,5.6,1.392857143,1.357142857,0.035714286,13.4
5,Non-sterile,Extreme ,intermediate,0.25,0.02,0.02,0.12,0,25,2,2,12,0,6,29,0.29,4,12,0.12,2,41,0.0957,0.0763,1.72,0.932458514,6.9,0.115942029,0.086956522,0.028985507,7.7
8,Non-sterile,Typical,intermediate,0.26,0.01,0,0,0,26,1,0,0,0,0,27,0.27,4,0,0,1,27,0.1428,0.0504,1.932,3.17664629,6.6,0,0,0,6.4
10,Non-sterile,None,intermediate,0.08,0,0.14,0.41,0.02,8,0,14,41,2,2,22,0.22,3,43,0.43,5,65,0.1133,0.0978,2.111,1.783829488,6.1,0.278688525,0.245901639,0.032786885,7.8
14,Non-sterile,Extreme ,small,0.24,0.05,0.07,0.03,0.01,24,5,7,3,1,0,36,0.36,5,4,0.04,1,40,0.2285,0.0845,3.13,1.70835477,7.6,2.644736842,1.605263158,1.039473684,27.7
15,Non-sterile,None,intermediate,0.13,0,0.09,0.27,0.02,13,0,9,27,2,4,22,0.22,3,29,0.29,4,51,0.1274,0.0782,2.056,1.806215955,4.9,0.93877551,0.755102041,0.183673469,9.5
19,Non-sterile,Extreme ,big,0.3,0.01,0.09,0.12,0.01,30,1,9,12,1,2,40,0.4,5,13,0.13,2,53,0.4029,0.3157,7.186,2.00727256,17.2,0.412790698,0.406976744,0.005813953,24.3
20,Non-sterile,None,intermediate,0.24,0.01,0.11,0.01,0,24,1,11,1,0,3,36,0.36,5,1,0.01,1,37,0.104,0.0776,1.816,1.47976482,5.1,0.019607843,0.078431373,0,5.2
21,Non-sterile,Typical,intermediate,0.39,0,0.02,0,0,39,0,2,0,0,3,41,0.41,5,0,0,1,41,0.1728,0.1167,2.895,1.830425111,8.2,0.231707317,0.146341463,0.085365854,10.1
22,Non-sterile,None,big,0.15,0.02,0.18,0.04,0,15,2,18,4,0,10,35,0.35,5,4,0.04,1,39,0.1977,0.1382,3.359,1.801874414,5.7,1.228070175,0.596491228,0.631578947,12.7
23,Non-sterile,Extreme ,intermediate,0.14,0.02,0,0.03,0.04,12,2,0,3,4,0,14,0.14,2,7,0.07,2,21,0.1609,0.1577,3.186,1.251262368,9.9,0.050505051,-0.01010101,0.060606061,10.4
28,Non-sterile,Extreme ,small,0.23,0.01,0.01,0,0,23,1,1,3,4,0,25,0.25,4,0,0,1,25,0.1726,0.1585,3.311,1.80325128,5,1,0.98,0.02,10
30,Non-sterile,None,intermediate,0.21,0,0.09,0.13,0.03,21,0,9,13,3,9,30,0.3,4,16,0.16,3,46,0.1872,0.2263,4.135,2.15897921,8.1,0.061728395,0.012345679,0.049382716,8.6
32,Non-sterile,Typical,intermediate,0.05,0,0.03,0.49,0.01,5,0,3,49,1,5,8,0.08,2,50,0.5,6,58,0.1759,0.2035,3.794,1.63032885,9.8,0.020408163,0.030612245,0,10
34,Non-sterile,Extreme ,big,0.21,0,0.07,0.22,0,21,0,7,22,0,2,28,0.28,4,22,0.22,3,50,0.1726,0.2713,4.439,1.163101596,8.6,0.058139535,0.046511628,0.011627907,9.1
36,Sterile,Typical,intermediate,0.04,0,0,0,0,4,0,0,0,0,0,4,0.04,1,0,0,1,4,0.4697,0.1976,6.673,2.738463245,2.5,8.64,5.96,2.68,24.1
40,Sterile,None,intermediate,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.1814,0.5727,17.541,1.68437321,9.4,2.29787234,0.680851064,1.617021277,31
43,Sterile,None,intermediate,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.3898,0.2136,6.034,2.147378324,2.3,7.739130435,3.869565217,3.869565217,20.1
46,Sterile,Extreme ,intermediate,0.02,0,0,0,0,2,0,0,0,0,0,2,0.02,1,0,0,1,2,0.931,0.3484,12.794,1.288613861,13.6,1.132352941,0.852941176,0.279411765,29
47,Sterile,Typical,big,0.06,0,0,0,0,6,0,0,0,0,0,6,0.06,2,0,0,1,6,1.0144,0.6282,16.426,1.716312757,8.8,2.5,0.977272727,1.522727273,30.8
48,Sterile,None,intermediate,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.7299,0.7543,24.842,1.786143907,8.2,3.682926829,2.317073171,1.365853659,38.4
51,Sterile,None,intermediate,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.2545,0.8519,21.064,1.517678152,8.5,2.211764706,1.117647059,1.094117647,27.3
54,Sterile,Extreme ,intermediate,0.04,0,0,0,0,4,0,0,0,0,0,4,0.04,1,0,0,1,4,1.3948,0.4768,18.716,1.342586164,10.1,2.207920792,0.95049505,1.257425743,32.4
57,Sterile,Extreme ,big,0.03,0,0,0,0,3,0,0,0,0,0,3,0.03,1,0,0,1,3,1.1542,0.6634,18.176,1.680686913,10.9,1.412844037,0.449541284,0.963302752,26.3
59,Sterile,Typical,intermediate,0.03,0,0,0,0,3,0,0,0,0,0,3,0.03,1,0,0,1,3,0.869,0.5412,14.102,1.523903237,8.1,2.456790123,1.481481481,0.975308642,28
63,Sterile,Typical,intermediate,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.8862,1.1511,30.373,1.014033752,9.8,2.683673469,1.387755102,1.295918367,36.1
64,Sterile,Extreme ,intermediate,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.5138,0.4928,20.066,1.751880078,8.3,3.939759036,2.048192771,1.891566265,41
69,Sterile,Typical,intermediate,0.04,0,0,0,0,4,0,0,0,0,0,4,0.04,1,0,0,1,4,0.9826,0.649,16.316,1.642677973,8.2,1.841463415,1.06097561,0.780487805,23.3
70,Sterile,Extreme ,intermediate,0.01,0,0,0,0,1,0,0,0,0,0,1,0.01,1,0,0,1,1,0.6756,0.1729,8.485,1.940298241,3.3,6.333333333,2.393939394,3.939393939,24.2
71,Sterile,None,intermediate,0.04,0,0,0,0,4,0,0,0,0,0,4,0.04,1,0,0,1,4,0.232,0.3797,6.117,3.138583067,8.2,0.548780488,0.012195122,0.536585366,12.7