ID,Inundation,CollectionTime,Soil,Nutrient,Value
1,Typical,After flooding,Sterile,Carbon,5.32
2,Typical,After flooding,Sterile,Carbon,3.61
3,Extreme,After flooding,Sterile,Carbon,6.08
4,Extreme,After flooding,Sterile,Carbon,4.63
5,None,After flooding,Sterile,Carbon,4.30
6,None,After flooding,Sterile,Carbon,5.51
7,Typical,After flooding,Non-sterile,Carbon,8.29
8,Typical,After flooding,Non-sterile,Carbon,8.30
9,Extreme,After flooding,Non-sterile,Carbon,6.54
10,Extreme,After flooding,Non-sterile,Carbon,9.85
11,None,After flooding,Non-sterile,Carbon,9.84
12,None,After flooding,Non-sterile,Carbon,12.24
1,Typical,After flooding,Sterile,Nitrogen,0.24
2,Typical,After flooding,Sterile,Nitrogen,0.22
3,Extreme,After flooding,Sterile,Nitrogen,0.19
4,Extreme,After flooding,Sterile,Nitrogen,0.24
5,None,After flooding,Sterile,Nitrogen,0.19
6,None,After flooding,Sterile,Nitrogen,0.20
7,Typical,After flooding,Non-sterile,Nitrogen,0.28
8,Typical,After flooding,Non-sterile,Nitrogen,0.27
9,Extreme,After flooding,Non-sterile,Nitrogen,0.22
10,Extreme,After flooding,Non-sterile,Nitrogen,0.26
11,None,After flooding,Non-sterile,Nitrogen,0.26
12,None,After flooding,Non-sterile,Nitrogen,0.30
1,Typical,After flooding,Sterile,Calcium,1750.67
2,Typical,After flooding,Sterile,Calcium,1697.38
3,Extreme,After flooding,Sterile,Calcium,1322.61
4,Extreme,After flooding,Sterile,Calcium,1761.87
5,None,After flooding,Sterile,Calcium,1924.75
6,None,After flooding,Sterile,Calcium,1673.77
7,Typical,After flooding,Non-sterile,Calcium,2255.01
8,Typical,After flooding,Non-sterile,Calcium,1970.89
9,Extreme,After flooding,Non-sterile,Calcium,1922.06
10,Extreme,After flooding,Non-sterile,Calcium,2223.56
11,None,After flooding,Non-sterile,Calcium,2241.99
12,None,After flooding,Non-sterile,Calcium,2586.26
1,Typical,After flooding,Sterile,Copper,0.69
2,Typical,After flooding,Sterile,Copper,0.61
3,Extreme,After flooding,Sterile,Copper,0.89
4,Extreme,After flooding,Sterile,Copper,0.60
5,None,After flooding,Sterile,Copper,1.68
6,None,After flooding,Sterile,Copper,1.34
7,Typical,After flooding,Non-sterile,Copper,0.56
8,Typical,After flooding,Non-sterile,Copper,0.52
9,Extreme,After flooding,Non-sterile,Copper,0.58
10,Extreme,After flooding,Non-sterile,Copper,0.58
11,None,After flooding,Non-sterile,Copper,1.59
12,None,After flooding,Non-sterile,Copper,1.49
1,Typical,After flooding,Sterile,Magnesium,464.09
2,Typical,After flooding,Sterile,Magnesium,452.89
3,Extreme,After flooding,Sterile,Magnesium,356.66
4,Extreme,After flooding,Sterile,Magnesium,452.98
5,None,After flooding,Sterile,Magnesium,521.37
6,None,After flooding,Sterile,Magnesium,471.88
7,Typical,After flooding,Non-sterile,Magnesium,579.88
8,Typical,After flooding,Non-sterile,Magnesium,505.83
9,Extreme,After flooding,Non-sterile,Magnesium,494.52
10,Extreme,After flooding,Non-sterile,Magnesium,554.69
11,None,After flooding,Non-sterile,Magnesium,586.02
12,None,After flooding,Non-sterile,Magnesium,665.21
1,Typical,After flooding,Sterile,pH,4.90
2,Typical,After flooding,Sterile,pH,5.00
3,Extreme,After flooding,Sterile,pH,4.87
4,Extreme,After flooding,Sterile,pH,5.15
5,None,After flooding,Sterile,pH,4.75
6,None,After flooding,Sterile,pH,5.00
7,Typical,After flooding,Non-sterile,pH,5.17
8,Typical,After flooding,Non-sterile,pH,5.32
9,Extreme,After flooding,Non-sterile,pH,4.81
10,Extreme,After flooding,Non-sterile,pH,5.12
11,None,After flooding,Non-sterile,pH,5.15
12,None,After flooding,Non-sterile,pH,5.11
1,Typical,After flooding,Sterile,Phosphorus,49.14
2,Typical,After flooding,Sterile,Phosphorus,50.00
3,Extreme,After flooding,Sterile,Phosphorus,49.79
4,Extreme,After flooding,Sterile,Phosphorus,40.74
5,None,After flooding,Sterile,Phosphorus,51.57
6,None,After flooding,Sterile,Phosphorus,40.53
7,Typical,After flooding,Non-sterile,Phosphorus,39.50
8,Typical,After flooding,Non-sterile,Phosphorus,39.24
9,Extreme,After flooding,Non-sterile,Phosphorus,36.60
10,Extreme,After flooding,Non-sterile,Phosphorus,37.48
11,None,After flooding,Non-sterile,Phosphorus,38.54
12,None,After flooding,Non-sterile,Phosphorus,43.24
1,Typical,After flooding,Sterile,Potassium,215.36
2,Typical,After flooding,Sterile,Potassium,230.73
3,Extreme,After flooding,Sterile,Potassium,180.30
4,Extreme,After flooding,Sterile,Potassium,199.28
5,None,After flooding,Sterile,Potassium,213.30
6,None,After flooding,Sterile,Potassium,221.10
7,Typical,After flooding,Non-sterile,Potassium,286.16
8,Typical,After flooding,Non-sterile,Potassium,255.08
9,Extreme,After flooding,Non-sterile,Potassium,199.03
10,Extreme,After flooding,Non-sterile,Potassium,204.58
11,None,After flooding,Non-sterile,Potassium,252.48
12,None,After flooding,Non-sterile,Potassium,295.11
1,Typical,After flooding,Sterile,Sodium,49.74
2,Typical,After flooding,Sterile,Sodium,37.30
3,Extreme,After flooding,Sterile,Sodium,35.27
4,Extreme,After flooding,Sterile,Sodium,29.11
5,None,After flooding,Sterile,Sodium,81.68
6,None,After flooding,Sterile,Sodium,78.10
7,Typical,After flooding,Non-sterile,Sodium,64.49
8,Typical,After flooding,Non-sterile,Sodium,49.90
9,Extreme,After flooding,Non-sterile,Sodium,37.06
10,Extreme,After flooding,Non-sterile,Sodium,57.44
11,None,After flooding,Non-sterile,Sodium,94.34
12,None,After flooding,Non-sterile,Sodium,107.85
1,Typical,After flooding,Sterile,Sulfur,15.17
2,Typical,After flooding,Sterile,Sulfur,13.53
3,Extreme,After flooding,Sterile,Sulfur,15.43
4,Extreme,After flooding,Sterile,Sulfur,13.02
5,None,After flooding,Sterile,Sulfur,19.56
6,None,After flooding,Sterile,Sulfur,22.11
7,Typical,After flooding,Non-sterile,Sulfur,19.89
8,Typical,After flooding,Non-sterile,Sulfur,17.59
9,Extreme,After flooding,Non-sterile,Sulfur,18.52
10,Extreme,After flooding,Non-sterile,Sulfur,20.57
11,None,After flooding,Non-sterile,Sulfur,20.96
12,None,After flooding,Non-sterile,Sulfur,30.85
1,Typical,After flooding,Sterile,Zinc,9.37
2,Typical,After flooding,Sterile,Zinc,10.41
3,Extreme,After flooding,Sterile,Zinc,9.01
4,Extreme,After flooding,Sterile,Zinc,10.51
5,None,After flooding,Sterile,Zinc,11.13
6,None,After flooding,Sterile,Zinc,8.85
7,Typical,After flooding,Non-sterile,Zinc,13.63
8,Typical,After flooding,Non-sterile,Zinc,12.46
9,Extreme,After flooding,Non-sterile,Zinc,12.01
10,Extreme,After flooding,Non-sterile,Zinc,11.46
11,None,After flooding,Non-sterile,Zinc,12.97
12,None,After flooding,Non-sterile,Zinc,23.12
1,Before,Before flooding,Non-sterile,Carbon,8.89
2,Before,Before flooding,Sterile,Carbon,8.35
1,Before,Before flooding,Non-sterile,Nitrogen,0.29
2,Before,Before flooding,Sterile,Nitrogen,0.33
1,Before,Before flooding,Non-sterile,Calcium,2443.29
2,Before,Before flooding,Sterile,Calcium,2598.05
1,Before,Before flooding,Non-sterile,Copper,0.50
2,Before,Before flooding,Sterile,Copper,0.81
1,Before,Before flooding,Non-sterile,Magnesium,646.23
2,Before,Before flooding,Sterile,Magnesium,691.11
1,Before,Before flooding,Non-sterile,pH,4.89
2,Before,Before flooding,Sterile,pH,4.93
1,Before,Before flooding,Non-sterile,Phosphorus,22.35
2,Before,Before flooding,Sterile,Phosphorus,28.25
1,Before,Before flooding,Non-sterile,Potassium,120.61
2,Before,Before flooding,Sterile,Potassium,124.82
1,Before,Before flooding,Non-sterile,Sodium,113.08
2,Before,Before flooding,Sterile,Sodium,116.06
1,Before,Before flooding,Non-sterile,Sulfur,19.86
2,Before,Before flooding,Sterile,Sulfur,27.90
1,Before,Before flooding,Non-sterile,Zinc,4.33
2,Before,Before flooding,Sterile,Zinc,5.22